"Hold orders which have no MasterCard SecureCode.","Orders zonder MasterCard SecureCode worden 'onhold' gezet."
"Visa Specific","Visa Specifiek"
"No 3D Secure order status","Orderstatus voor niet 3D Secure orders"
"Set no 3D Secure orders onhold","Plaats geen 3D Secure orders 'onhold'"
"Hold orders which are not 3D Secure.","Orders zonder 3D Secure by Visa worden 'onhold' gezet."
"Paypal","Paypal"
"Enable Paypal","Paypal inschakelen"
"Seller protection enabled","Maak gebruik van verkopersbescherming"
"WARNING: Paypal Seller Protection requires additional configuration. Please consult Buckaroo for more information.","LET OP: Het gebruik van de PayPal verkopersbescherming vereist aanvullende instellingen in de configuratie van Magento. Raadpleeg Buckaroo voor meer informatie."
"Seller protection eligible","Verkopersbescherming volledig toegekend"
"Seller protection for unauthorized payment and item not received","Verkopersbescherming wordt toegekend voor ongeauthorizeerde betaling en niet ontvangen goederen"
"Seller protection item not received","Verkopersbescherming niet ontvangen goederen"
"Seller protection for item not received","Verkopersbescherming wordt toegekend voor niet ontvangen goederen"
"Seller protection unauthorized payment","Verkopersbescherming ongeauthoriseerde betaling"
"Seller protection for unauthorized payment","Verkopersbescherming wordt toegekend voor ongeauthoriseerde betaling"
"Seller protection ineligible","Geen verkopersbescherming"
"Merchant is not protected by Seller Protection","De winkelier heeft geen recht op verkopersbescherming"
"Bank Transfer","Overboeking"
"Enable Bank Transfer","Overboeking inschakelen"
"Send payment instruction email","Stuur een e-mail met betaalinstructies"
"Buckaroo sends an email to the customer with the payment procedures.","Vanuit Buckaroo wordt een e-mail verstuurd met de betaalinstructies."
"Set to 'No' the customer is informed once online.","Bij de selectie 'Nee' wordt de klant eenmalig geinformeerd na het afronden van de order."
"Due date (in days)","Verloop van termijn (in dagen)"
"The amount of days after the order date in which the customer has to complete the payment. After this period order will be cancelled. You can add this due date in the template of the Transfer email.","Het aantal dagen na de orderdatum waarbinnen de klant de betaling moet hebben voldaan. Na deze periode wordt de bestelling geannuleerd. U kunt deze vervaldatum opnemen in de template van de overboekingsemail"
"Use credit management","Gebruik 'credit management'"
"Buckaroo sends payment reminders to the customer.","Buckaroo verstuurt betaalherinneringen naar de klant."
"Contact Buckaroo before activating Credit Management. By default this is excluded in the contract.","Voor het gebruik van credit management moet dit actief zijn in uw Buckaroo contract."
"Invoice delay (in days)","Factuur vertraging (in dagen)"
"Specify the amount of days before Buckaroo invoices the order and sends out the payment mail.","Geef aan hoeveel dagen tussen de bestelling en betaalverzoek mogen zitten."
"Max reminder level","Max. niveau van herinnering"
"Select the maximum reminder level buckaroo will use.","Selecteer het maximale niveau van herinnering die Buckaroo toepast."
"SEPA direct debit","SEPA machtiging"
"Enable SEPA direct debit","SEPA machtiging inschakelen"
"Bancontact","Bancontact"
"Enable Bancontact","Bancontact inschakelen"
"Please enter a valid BIC number","Voer een geldig BIC nummer in"
"Please select a issuer from the list","Selecteer een bank uit de lijst"
"Belfius","Belfius"
"Enable Belfius","Belfius inschakelen"
"Blik","Blik"
"Enable Blik","Blik inschakelen"
"Alipay","Alipay"
"Enable Alipay","Alipay inschakelen"
"WeChatPay","WeChatPay"
"Enable WeChatPay","WeChatPay inschakelen"
"P24","P24"
"Przelewy24","Przelewy24"
"Enable Przelewy24","Przelewy24 inschakelen"
"Trustly","Trustly"
"Enable Trustly","Trustly inschakelen"
"Refunding","Terugbetaling"
"Enable or disable refunding.","Activeer of deactiveer de mogelijkheid tot terugbetalingen via Buckaroo. Wanneer ingeschakeld, kun je online terugbetalingen verwerken via Buckaroo door het aanmaken van een creditnota in Magento."
"Set to 'No' refunds must be done manualy in Buckaroo Plaza.","Bij de selectie 'Nee' worden credit memo's in Magento niet aangeboden bij Buckaroo Plaza."
"Push Buckaroo Plaza refunds to Magento","Accepteer Buckaroo Plaza terugbetalingen in Magento"
"Allow 2-way refunding from Magento and Buckaroo Plaza.","Verwerk terugbetalingen die aangemaakt zijn in de Buckaroo Plaza. In Magento wordt er vervolgens ook een creditnota aangemaakt."
"Enabled","Ingeschakeld"
"Yes","Ja"
"No","Nee"
"Enable or disable the Buckaroo plugin.","Schakel de Buckaroo-plugin in of uit."
"Secret key","Secret key"
"Enter your Buckaroo Secret Key.","Voeg uw Buckaroo 'Secret Key' toe."
"The Secret Key can be retrieved in the Buckaroo Plaza under Settings > Secret Key. For support contact Buckaroo.","De Secret Key staat weergegeven in de Buckaroo Plaza onder Instellingen > Secret Key. Voor ondersteuning neem contact op met Buckaroo."
"Store key","Store key"
"Enter your Buckaroo store key.","Voeg uw Buckaroo store key toe."
"The Store key can be retrieved in the Buckaroo Plaza under Settings > Websites. For support contact Buckaroo.","De Store key staat weergeven in de Buckaroo Plaza onder Instellingen > Websites. Voor ondersteuning neem contact op met Buckaroo."
"(Merchant) guid","(Merchant) guid"
"Enter your Buckaroo merchant guid.","Voeg uw Buckaroo merchant guid toe."
"The (Merchant) Guid can be retrieved in Buckaroo Plaza under My Buckaroo > Details > Guid. For support contact Buckaroo.",""De '(Merchant) Guid' staat weergegeven in Buckaroo Plaza onder Mijn Buckaroo > Details > Guid."
"Transaction label","Transactiebeschrijving"
"The transaction description in Buckaroo Plaza.","De omschrijving van de transactie in Buckaroo Plaza."
"These options are only intended for expert users. Tampering with the default settings may negatively affect the workflow and performance of all Buckaroo payment methods. Use at your own risk.","Deze instellingen zijn enkel bedoeld voor expert gebruikers. Het aanpassen van deze instellingen kan de werking van de module en de webshop negatief beïnvloeden. Gebruik op eigen risico."
"New status","Nieuw status"
"This status will be given to new orders.","Deze status wordt toegekend bij nieuwe orders."
"Pending payment status","Betaling open status"
"This status will be given to orders pending payment.","Deze status wordt toegekend bij orders die in afwachting zijn van betalen."
"Payment success status","Betaling geslaagd status"
"This status will be given to orders paid.","Deze status wordt toegekend bij betaalde orders."
"Payment failed status","Betaling mislukt status"
"This status will be given to unsuccessful orders.","Deze status wordt toegekend bij niet geslaagde orders."
"Send transactional invoice email","Verstuur transactionele factuur mail"
"Send a mail after successful creating the order.","Stuur een e-mail na het correct aanmaken van de order."
"Please enter a valid bank account holder name","Voer een geldige naam van de rekeninghouder in"
"Please enter a valid bank account number","Voer een geldig rekeningnummer in"
"Create invoice after success","Maak een invoice aan na 'succes'"
"If set to 'No' the order is not invoiced.","Als 'Nee' is geselecteerd wordt er geen invoice aangemaakt in Magento."
"Payment success status without invoice","Succes status zonder factuur"
"Redirect url after 'Success'","Redirect url na 'Success'"
"Redirect after successful payments.","Redirect URL na een succesvolle betaling."
"Redirect url after 'Failure'","Redirect url na 'Failure'"
"Redirect after failed payments.","Redirect URL na een milsukte betaling."
"'Canceled' state on failed payment","'Canceled' status bij mislukte betalingen"
"Orders will stay open after failed payments.","Orders worden niet geannuleerd na een afgewezen betaling."
"Transaction data send as raw data.","De e-mail bevat de onbewerkte data."
"Fee percentage mode","Toeslag percentage modus"
"This setting only applies to percentage-based Buckaroo fees.<br />Please choose over which amount the fee percentage is calculated.","Deze instelling is enkel van toepassing op percentage-gebaseerde toeslagen.<br />Kies s.v.p. over welk bedrag het toeslag percentage wordt berekend."
"Please enter these fields as they appear on your bank account.","Vul de velden in zoals in uw bank account staat aangegeven."
"You will receive an email with further payment instructions when you place your order.","Na het plaatsen van uw bestelling ontvangt u een e-mail met de gegevens voor de betaling."
"Legend","Legenda"
"Payment method","Betaalmethode"
"Disabled","Uitgeschakeld"
"Test Mode","Testmodus"
"Live Mode","Live-modus"
"Magento &amp; 3rd party version compatibility","Magento &amp; 3rd party versie compatibiliteit"
"Magento version compatibility","Magento versie compatibiliteit"
"Magento Community Edition version","Magento Community Edition versie"
"Magento Enterprise Edition version","Magento Enterprise Edition versie"
"Quick reference guide","Eerste stappen"
"Log in to the ","Log in bij "
"Buckaroo Plaza","Buckaroo Plaza"
" to collect the following security settings:"," om de volgende beveiligingsgegevens te verzamelen:"
"Support","Support"
"This extension is developed by Buckaroo.","Deze extensie is ontwikkeld door Buckaroo."
"Extension basic configuration and account information","Algemene instellingen en accountgegevens"
"Phone:","Telefoon:"
"E-mail:","E-mail:"
"Extension support and advanced configuration","Extensie support en geavanceerde configuratie"
"Online documentation and FAQ:","Online documentatie en FAQ:"
"Support question:","Support aanvragen:"
"Support by email:","Overige vragen per e-mail:"
"Documentation","Documentatie"
"A list of documents regarding the extension.","Een lijst van documenten met betrekking tot de extensie."
"Download a PDF format of the manual. Currently the manual is only available in English.","Download hier de gebruiksaanwijzing (PDF). Momenteel enkel beschikbaar in het Engels"
"View the complete changelog of the module. Currently the changelog is only available in Dutch.","Bekijk het volledige overzicht van veranderingen. Momenteel enkel beschikbaar in het Nederlands"
"Installation Manual Buckaroo.pdf (NL)","Installatie en configuratie handleiding (NL)"
"Full Changelog","Volledig overzicht van de veranderingen"
"Selected card: %1","Geselecteerde kaart: %1"
"Tax Class for Buckaroo Fee","Tariefgroep Buckaroo toeslag"
"Display Buckaroo Fee Prices","Toon Buckaroo toeslag"
"Buckaroo","Buckaroo"
"Version &amp; Support","Versie &amp; Ondersteuning"
"General configuration and account information","Algemene configuratie en accountinformatie"
"Store key","Store key"
"Debug information will be sent to these comma-separated email addresses","Debug-informatie zal verzonden worden naar deze, door een komma gescheiden, e-mailadressen"
"Debugging","Debuggen"
"Decide what to debug. Log files will be created within the var/log/Buckaroo/ directory.","Bepaal wat er gelogd wordt. Log bestanden worden aangemaakt in de var/log/Buckaroo/ folder."
"Please enter a valid number: '%1'.","Voer een geldig getal in: '%1'."
"This sets whether buckaroo payment fee amounts entered from Magento Admin include tax","Dit bepaalt of Buckaroo betaaltoeslag met of zonder btw getoond wordt."
"Excluding Tax","Exclusief BTW"
"Including Tax","Inclusief BTW"
"Including and Excluding Tax","Inclusief en Exclusief BTW"
"None","Geen"
"All Allowed Countries","Alle toegestane landen"
"Specific Countries","Specifieke landen"
"Do not log debug information","Log geen debug informatie"
"Log to file","Log naar bestand"
"Off","Uitgeschakeld"
"Test","Testmodus"
"Live","Live-modus"
"Subtotal","Subtotaal"
"Subtotal incl. tax","Subtotaal incl. BTW"
"Grand Total","Totaal"
"-- Please Select --","-- Selecteer --"
"Buckaroo refund is disabled","Buckaroo terugbetaling is uitgeschakeld"
"Buckaroo refund push validation failed","Buckaroo terugbetaling push validatie is mislukt"
"The credit memo\'s total must be positive.","Het totaal van de creditmemo\'s moet positief zijn."
"Failed to create the creditmemo","Het is niet gelukt een creditmemo te creëren"
"Payment Fee","Betaaltoeslag"
"Refund failed ! Status : %1 and the order does not contain an invoice","Terugbetaling is mislukt ! Status : %1 en de order bevat geen factuur"
"Skipped handling this push, duplicate","Behandeling van deze push overgeslagen, dupliceren"
"Signature from push is incorrect","Signature van de push is onjuist"
"Signature from push is correct but the order can not receive updates","Signature van de push is juist, maar de order kan niet langer updates verwerken"
"There was no order found by transaction Id","Er is geen bestelling gevonden bij transactie ID"
"Invalid status send by buckaroo, but the payment amount was correct.","Ongeldige status verzonden door Buckaroo, maar het te betalen bedrag was correct"
"Order can not be invoiced","Bestelling kan niet worden gefactureerd"
"Buckaroo Pending Payment","Buckaroo in afwachting van betaling"
"Refund Reward Points","Spaarpunten"
"Buckaroo Fee for Order","Buckaroo toeslag voor bestellingen"
"order","bestel"
"Buckaroo Fee","Buckaroo toeslag"
"Place Order","Plaats bestelling"
"Select a bank:","Selecteer een bank:"
"BIC number:","BIC code:"
"Select a Credit Card or Debit Card:","Selecteer een Credit- of debitcard:"
"Bank account holder","Naam rekeninghouder:"
"Bank account number","Rekeningnummer (IBAN):"
"BIC Number","BIC code:"
"Disallowed file type.","Ongeldig bestandstype."
"Online refunds are currently disabled for Buckaroo payment methods.","Online refunds zijn momenteel uitgeschakeld voor Buckaroo betaalmethodes"
"Adjustment Refund","Aanpassingsbetaling"
"Adjustment Fee","Aanpassingstoeslag"
"Unfortunately an error occurred while processing your payment. Please try again. If this error persists, please choose a different payment method.","Er is een fout opgetreden tijdens het verwerken van uw betaling. Probeer het opnieuw. Als deze fout aanhoudt, kies dan een andere betaalmethode."
"Riverty","Riverty"
"Enable Riverty","Riverty inschakelen"
"Giftcard","Cadeaukaarten"
"Enable Giftcard","Cadeaukaarten inschakelen"
"PayPerEmail","PayPerEmail"
"Enable PayPerEmail","PayPerEmail inschakelen"
"PayLink","PayLink"
"Enable PayLink","PayLink inschakelen"
"Combined","Samengesteld"
"Separate authorize and capture","Losse authorize en capture"
"Payment flow","Betaalflow"
"Whether to use separate authorize and capture calls or to use a combined 'pay' call.","Of er een aparte authorize en capture call gedaan wordt of dat er een samengestelde 'pay' call gebruikt wordt."
"Eps","Eps"
"Enable Eps","Eps inschakelen"
"This is a required field.","Dit is een verplicht veld."
"You should be at least 18 years old.","U moet minimaal 18 jaar oud zijn."
"Phone number should be correct.","Telefoonnummer moet correct zijn."
"Enter Valid IBAN","Vul een geldig IBAN in"
"Enter Valid BIC number","Vul een geldig BIC nummer in"
" (Excl. Tax)"," (Excl. BTW)"
" (Incl. Tax)"," (Incl. BTW)"
"Please enter a valid currency: '%1'.","Voer een geldige betaaleenheid in: '%1'."
"Merchant is protected by PayPal Seller Protection Policy for both Unauthorized Payment and Item Not Received.","De handelaar is door de PayPal Seller Protection Policy beschermd tegen zowel ongeauthoriseerde betalingen als niet ontvangen producten."
"Merchant is protected by Paypal Seller Protection Policy for Item Not Received.","De handelaar is door de PayPal Seller Protection Policy beschermd tegen niet ontvangen producten."
"Merchant is protected by Paypal Seller Protection Policy for Unauthorized Payment.","De handelaar is door de PayPal Seller Protection Policy beschermd tegen ongeauthoriseerde betalingen."
"Merchant is not protected under the Seller Protection Policy.","De handelaar is niet door de PayPal Seller Protection Policy beschermd."
"Not enough paid: %1 has been transfered. Order grand total was: %2.","Niet genoeg betaald: %1 is overgeboekt. Het totaal van de bestelling was: %2."
"Too much paid: %1 has been transfered. Order grand total was: %2.","Teveel betaald: %1 is overgeboekt. Het totaal van de bestelling was: %2."
"Buckaroo New","Buckaroo Nieuw"
"Buckaroo Pending Payment","Buckaroo in afwachting van betaling"
"'%s' data type is invalid. String is expected.","'%s' data type is ongeldig. String verwacht"
"A list of documents regarding the extension.","Een lijst van documenten met betrekking tot de extensie."
"Installation and Configuration Manual Buckaroo.pdf","Installatie en Configuratie handleiding Buckaroo.pdf"
"View the complete release notes of the extension. Currently the release notes is only available in English.","Bekijk de volledgie release notes van de extensie. Momenteel enkel beschikbaar in het Engels."
"Full Release Notes","Volledige Release Notes"
"(Excluding Tax)","(Exclusief BTW)"
"(Including Tax)","(Inclusief BTW)"
"Salutation","Aanhef"
"Mr.","Meneer"
"Mrs.","Mevrouw"
"Unknown","Onbekend"
"He/him","Hij/hem"
"She/her","Zij/haar"
"They/them","Zij/ze"
"I prefer not to say","Ik zeg het liever niet"
"Billing Name:","Factuurnaam:"
"Telephone:","Telefoonnummer:"
"Date of Birth:","Geboortedatum:"
"Bank Account Number:","Rekeningnummer (IBAN):"
"Business Model:","Bedrijfsmodel:"
"B2C - Business to Consumer","B2C - Business to Consumer"
"B2B - Business to Business","B2B - Business to Business"
"COC Number:","KVK-nummer:"
"Company Name:","Bedrijfsnaam:"
"Cost Center:","Kostenplaats:"
"VAT Number:","BTW nummer:"
"Terms and Conditions:","Algemene voorwaarden:"
"Please make sure all fields are filled in correctly before proceeding.","Zorg ervoor dat alle velden correct ingevuld zijn voordat u doorgaat."
"Not Applicable","Niet van toepassing"
"The general Terms and Conditions for the Riverty payment method apply. The privacy policy of Riverty can be found here.","De Algemene Voorwaarden voor de betaalmethode Riverty zijn van toepassing. Het privacybeleid van Riverty vind je hier."
"Accept terms of use","Accepteer algemene voorwaarden"
"(DD/MM/YYYY)","(DD/MM/JJJJ)"
"Any comments about this Beta release? <a target=\"_blank\" href=\"%s\"> Please let us know! </a>","Heeft u opmerkingen over deze Beta release? <a target=\"_blank\" href=\"%s\"> Laat het ons weten! </a>"
"Buckaroo version","Buckaroo versie"
"The transaction will be processed using %s.","De betaling zal verwerkt worden in %s."
"The order has already been processed.","De bestelling is reeds verwerkt."
"push notification for refund has no success status, ignoring.","pushmelding voor terugbetaling heeft geen successtatus, negeert. "
"Warning:","Waarschuwing:"
"Due to compound rounding errors in Magento when using currencies other than the store's base currency when creating refunds, the amount that you refund may be several cents more or less than you intended. If you wish to make sure that the correct amount is refunded, please create an offline refund and then  use Buckaroo's Plaza to do the actual refund.","Wegens oplopende afrondingsfouten in Magento wanneer gekrediteerd wordt in een andere valuta dan de winkel's basisvaluta, kan het voorkomen dat er enkele centen verschil zitten tussen het bedrag dat gekrediteerd moet worden en het bedrag dat daadwerkelijk teruggestort wordt. Indien u zeker wilt zijn dat het juiste bedrag teruggestort wordt, kunt u het beste een offline refund aanmaken en het eigenlijke bedrag terugstorten vanuit Buckaroo's Plaza."
"support.buckaroo.nl","support.buckaroo.nl"
"Website","Website"
"www.buckaroo-payments.com","www.buckaroo.nl"
"Buckaroo Request Form","Buckaroo Aanvraagformulier"
"Buckaroo Knowledge Base","Buckaroo Kennisbank"
"Dankort Specific","Dankort Specifiek"
"Hold orders which are not 3D Secure.","Orders zonder 3D Secure by Dankort worden 'onhold' gezet."
"Buckaroo Giftcards","Buckaroo cadeaukaarten"
"Giftcards","Cadeaukaarten"
"Enable Giftcards","Cadeaukaarten inschakelen"
"Allowed giftcards","Geaccepteerde cadeaukaarten"
"Select which giftcards are available in the checkout. You can add new giftcards within Magento at → Stores → Buckaroo Giftcards.","Selecteer welke cadeaukaarten beschikbaar zijn voor de consument. Nieuwe cadeaukaarten kunnen via Stores > Buckaroo giftcards worden toegevoegd."
"These options will be presented to the customer after Buckaroo has received the order. If left blank, the available options will be based on which Buckaroo payment options you have enabled.","Deze opties zullen aan de klant voorgelegd worden nadat Buckaroo de bestelling ontvangen heeft. Als deze leeg gelaten wordt, dan zullen de beschikbare opties gebaseerd worden op welke Buckaroo betaalopties u ingeschakeld hebt."
"Sort Giftcards","Volgorde van de Giftcards"
"Giftcard handling","Giftcard handling"
"How to show the giftcard payment method in the checkout. <br/><strong>Inline:</strong> giftcards are show seperate in checkout<br/><strong>Redirect:</strong> giftcards get redirected to the buckaroo checkout. <br/><strong>Important:</strong> Group giftcards can only be refunded from the Buckaroo Plaza.","Hoe u de cadeaukaart-betaalmethode kunt weergeven bij het afrekenen. <br/><strong>Inline:</strong> Cadeaukaarten worden apart getoond bij het afrekenen.<br/><strong>Redirect:</strong> De consument word doorgestuurd naar de Buckaroo betaalpagina en daar kan de keuze van de cadeaukaart worden gemaakt.<br/><strong>Important:</strong> Groepstransacties met een gedeeltelijke giftcardbetaling kunnen alleen vanuit Buckaroo Plaza worden terugbetaald."
"You have not yet added any giftcards","Er zijn geen giftcards toegevoegd"
"Add New Giftcard","Nieuwe cadeaukaart toevoegen"
"Service Code","Service Code"
"Name","Naam"
"Label","Label"
"Save","Opslaan"
"Delete","Verwijderen"
"Save and Continue","Opslaan en doorgaan"
"Edit Giftcard '%s'","Cadeaukaart '%s' wijzigen"
"Add Giftcard","Cadeaukaart toevoegen"
"This giftcard no longer exists.","Deze cadeaukaart bestaat niet meer."
"The giftcard has been saved.","De cadeaukaart is opgeslagen."
"The giftcard has been deleted.","De cadeaukaart is verwijderd."
"My billing and shipping address are the same", "Mijn factuur- en bezorgadres zijn hetzelfde"
"Select a Credit Card or Debit Card", "Selecteer een Credit Card of Debit Card"
"Salutation:","Aanhef:"
"Send payment email","Stuur betalingsmail"
"Whether to use separate order/authorization and capture/invoice calls or to use a combined 'payment invitation' call.","Of er een aparte order/authorize en capture/invoice call gedaan wordt of dat er een samengestelde 'payment invitation' call gebruikt wordt."
"The selected payment method does not support the selected currency or the store's base currency.","De geselecteerde betaalmethode ondersteund niet de geselecteerde valuta of de winkel's basisvaluta."
"Invoice with id \"%1\" does not exist.","Er bestaat geen factuur met de id \"%1\""
"The payment of the Customer's payment will be outsourced to Buckaroo. The invoice indicates how to pay the invoice (after reception of goods and/or services). The invoice must be paid within 14 (fourteen) days after the invoice date.","De afhandeling van de betaling van de Klanten wordt uitbesteed aan Buckaroo. Op de factuur staat hoe u (na ontvangst van goederen en/of diensten) de factuur dient te betalen. De factuur dient binnen 14 (veertien) dagen na factuurdatum betaald te worden."
"You must check this box to indicate that you agree to the terms and conditions.","U dient dit vakje aan te klikken om aan te geven dat u akkoord gaat met de algemene voorwaarden."
"According to our system, you have canceled the payment. If this is not the case, please contact us.","Uw betaling is volgens ons systeem door u geannuleerd. Mocht dit niet het geval zijn, neem dan contact met ons op."
"Default Configuration","Standaard opties"
"Credit Management Enabled","Credit Management Inschakelen"
"Credit Management Scheme Key. It can be found <a href=""https://plaza.buckaroo.nl/Invoices/Scheme"" target=""_blank"">here</a>. This requires the Buckaroo Credit Management subscription.","Credit Management Schema-key. Dit kan <a href=""https://plaza.buckaroo.nl/Invoices/Scheme"" target=""_blank"">hier</a> gevonden. Dit vereist een Buckaroo Credit Management Subscription."
"Credit Management payment methods","Credit Management betaalmethode"
"Credit management steps","Credit management stappen"
"Max level of the Credit Management steps.","Maximale niveau van de Credit Management stappen."
"Credit Management Due date","Credit Management termijnverloop"
"The amount of days after the order date, after which the Credit Management scheme will start.","Het aantal dagen na de orderdatum, waarna het Credit Management schema in werking treedt."
"PayPerEmail payment methods", "PayPerEmail betaalmethoden"
"Show other active payment methods", "Toon andere actieve betaalmethoden "
"Select which paymethod can be used at PayPerEmail.","Selecteer welke betaalwijze bij PayPerEmail gebruikt kan worden."
"Select which payment methods can be used after the payment due date.","Selecteer welke betaalwijze na de termijnverloop gebruikt kan worden."
"Billing First Name:","Factuur voornaam:"
"Billing Last Name:","Factuur achternaam:"
"Billing Middle Name:","Factuur tussenvoegsel:"
"Not applicable","Niet toepasbaar"
"Email:","E-mail"
"Frontend","Voorkant"
"Backend","Achterkant"
"Frontend and Backend","Voorkant en Achterkant"
"Black","Zwart"
"White","Wit"
"White outline","Witte omtrek"
"Select where this payment method will be available.","Selecteer waar deze betaalmethode beschikbaar zal zijn."
"Cannot Refund via Magento Backend. Partial refunds combined with a payment fee can only be refunded via the Buckaroo Plaza, see also the <a href="https://support.buckaroo.nl" target="_blank">KB article</a>.<br><a href="https://plaza.buckaroo.nl" target="_blank">Open a new window to the Buckaroo Plaza</a>.","Deze refund is niet mogelijk. Gedeeltelijke refunds gecombineerd met de payment fee kunnen alleen worden teruggestort via de Buckaroo Plaza, zie ook het <a href="https://support.buckaroo.nl" target="_blank">KB artikel</a>.<br><a href="https://plaza.buckaroo.nl" target="_blank">Open een nieuw venster om naar de Buckaroo Plaza</a>."
"Cannot refund this order via Magento Backend for now, we are working on a solution! Credit Management orders can only be refunded via the Buckaroo Plaza.<br><a href="https://plaza.buckaroo.nl" target="_blank">Open a new window to the Buckaroo Plaza</a>.",,"Deze refund is momenteel niet mogelijk, wij werken aan een oplossing! Credit Management refunds kunnen alleen worden teruggestort via de Buckaroo Plaza.<br><a href="https://plaza.buckaroo.nl" target="_blank">Open een nieuw venster om naar de Buckaroo Plaza</a>."
"Webshops","Webshops"
"Extensions","Extensies"
"Commerce","Commerce"
"Your PHP version","Uw PHP versie"
"Your order has been placed successfully.","Uw bestelling is succesvol geplaatst."
"The payment methods of the Buckaroo Extension can be found under","De betaalmethoden van de Buckaroo extensie staan onder"
"Configuration > Sales > Payment Methods > Buckaroo","Configuratie > Sales > Betaalmethoden > Buckaroo"
